"Oxs_RungeKuttaEvolve:evolve:Total energy","Oxs_RungeKuttaEvolve:evolve:Energy calc count","Oxs_RungeKuttaEvolve:evolve:Max dm/dt","Oxs_RungeKuttaEvolve:evolve:dE/dt","Oxs_RungeKuttaEvolve:evolve:Delta E","Oxs_CubicAnisotropy::Energy","Oxs_UniformExchange::Energy","Oxs_UniformExchange::Max Spin Ang","Oxs_UniformExchange::Stage Max Spin Ang","Oxs_UniformExchange::Run Max Spin Ang","Oxs_ScriptUZeeman::Energy","Oxs_ScriptUZeeman::B","Oxs_ScriptUZeeman::Bx","Oxs_ScriptUZeeman::By","Oxs_ScriptUZeeman::Bz","Oxs_Demag::Energy","Oxs_TimeDriver::Iteration","Oxs_TimeDriver::Stage iteration","Oxs_TimeDriver::Stage","Oxs_TimeDriver::mx","Oxs_TimeDriver::my","Oxs_TimeDriver::mz","Oxs_TimeDriver::Last time step","Oxs_TimeDriver::Simulation time"
2.7730556310436897e-17,1,6304.8357849842196,-1.7735408319010952e-08,0,0,7.8000000000000001e-18,90.000000000000014,90.000000000000014,90.000000000000014,0,0,0,0,0,1.9930556310436898e-17,0,0,0,0,0.050000000000000003,0,0,0
2.7730529587115191e-17,7,6304.8294289150244,-1.7735361197858147e-08,-2.6723321706409709e-23,0,7.7999822348927296e-18,89.999877842875378,90.000000000000014,90.000000000000014,-1.6150961330268486e-40,9.9935282233799651e-07,9.9935282233799651e-07,0,0,1.9930547352222463e-17,1,1,0,4.9670537312825522e-17,0.050000005725793592,6.6228340545038124e-15,1.5067799263900698e-15,1.5067799263900698e-15
2.7730422694532194e-17,13,6304.803880724282,-1.7735175448048463e-08,-1.0689258299548653e-22,0,7.7999107984797367e-18,89.999376739376871,90.000000000000014,90.000000000000014,-2.0552426244849704e-38,4.9967638537190863e-06,4.9967638537190863e-06,0,0,1.9930511896052459e-17,2,2,0,1.7508864402770996e-15,0.050000027189540511,1.6557046775981615e-13,6.0271197055602791e-15,7.5338996319503486e-15
2.7729995134999983e-17,19,6304.6997055998536,-1.7734476206327056e-08,-4.275595322135501e-22,0,7.7996190364803869e-18,89.997172729003097,90.000000000000014,90.000000000000014,-1.6797021254621503e-36,2.0986389405344225e-05,2.0986389405344225e-05,0,0,1.9930376098519596e-17,3,3,0,3.335997462272644e-14,0.050000090015194246,2.9206331580648264e-12,2.4108478822241116e-14,3.1642378454191468e-14
2.7728285040127918e-17,25,6304.2512970238804,-1.7732379420417999e-08,-1.7100948720625192e-21,0,7.7983556825692095e-18,89.985694600854529,90.000000000000014,90.000000000000014,-1.5352426524599763e-34,8.4943669867785403e-05,8.4943669867785403e-05,0,0,1.9929929357558712e-17,4,4,0,7.5308606028556826e-13,0.049999972972217067,4.7846744907076304e-11,9.6433915288964465e-14,1.2807629374315595e-13
2.772144506182713e-17,31,6301.9491510859407,-1.7735203123823797e-08,-6.8399783007896704e-21,0,7.7917571065229971e-18,89.896754287877954,90.000000000000014,90.000000000000014,-2.078332397215911e-32,0.00034069407774686938,0.00034069407774686938,0,0,1.9929687955304154e-17,5,5,0,2.541791026790937e-11,0.049993626208258986,7.6971577586164127e-10,3.8573566115585786e-13,5.1381195489901386e-13
2.7693971895960234e-17,37,6284.0815535251159,-1.7927131630525722e-08,-2.7473165866896293e-20,0,7.7400573019008189e-18,88.854371703898991,90.000000000000014,90.000000000000014,-4.0778498821598575e-30,0.0013586556930511543,0.0013586556930511543,0,0,1.9953914594063491e-17,6,6,0,1.2505773516992728e-09,0.049876871567388605,1.2268474173877924e-08,1.5429426446234314e-12,2.0567545995224453e-12
2.761026686791013e-17,43,6109.2223890560463,-2.0057815463479383e-08,-8.370502805010406e-20,0,7.3498610909787522e-18,79.735733226760601,90.000000000000014,90.000000000000014,-3.5289704002257175e-28,0.0041685839701141418,0.0041685839701141418,0,0,2.0260405777284275e-17,7,7,0,3.5273472843691706e-08,0.048895775350887211,1.1928829796470382e-07,4.4912368638331308e-12,6.5479914633555757e-12
2.7507898814778338e-17,49,5588.7243302410589,-2.3164378820561579e-08,-1.0236805313178955e-19,0,6.7690915079872467e-18,62.362169389059297,90.000000000000014,90.000000000000014,-2.5621503048756783e-27,0.0066270338000339723,0.0066270338000339723,0,0,2.0738807309353244e-17,8,8,0,1.6109207516225676e-07,0.047358413606301289,3.3282391336238409e-07,4.7676553839857749e-12,1.131564684734135e-11
2.7387689146484622e-17,55,5001.558910514098,-2.443894048610867e-08,-1.2020966829371836e-19,0,6.4434063105266899e-18,53.534481276723049,90.000000000000014,90.000000000000014,-8.5943939354182609e-27,0.0083172774363017444,0.0083172774363017444,0,0,2.0944282844552325e-17,9,9,0,4.3054923928032322e-07,0.045066113412618139,6.3727539963714659e-07,5.119823837311968e-12,1.6435470684653318e-11
