"Oxs_RungeKuttaEvolve:evolve:Total energy","Oxs_RungeKuttaEvolve:evolve:Energy calc count","Oxs_RungeKuttaEvolve:evolve:Max dm/dt","Oxs_RungeKuttaEvolve:evolve:dE/dt","Oxs_RungeKuttaEvolve:evolve:Delta E","Oxs_CubicAnisotropy::Energy","Oxs_UniformExchange::Energy","Oxs_UniformExchange::Max Spin Ang","Oxs_UniformExchange::Stage Max Spin Ang","Oxs_UniformExchange::Run Max Spin Ang","Oxs_ScriptUZeeman::Energy","Oxs_ScriptUZeeman::B","Oxs_ScriptUZeeman::Bx","Oxs_ScriptUZeeman::By","Oxs_ScriptUZeeman::Bz","Oxs_Demag::Energy","Oxs_TimeDriver::Iteration","Oxs_TimeDriver::Stage iteration","Oxs_TimeDriver::Stage","Oxs_TimeDriver::mx","Oxs_TimeDriver::my","Oxs_TimeDriver::mz","Oxs_TimeDriver::Last time step","Oxs_TimeDriver::Simulation time"
2.7730556310436897e-17,1,6304.8357849842196,-1.7735408319010952e-08,0,0,7.8000000000000001e-18,90.000000000000014,90.000000000000014,90.000000000000014,0,0,0,0,0,1.9930556310436898e-17,0,0,0,0,0.050000000000000003,0,0,0
2.7730529587115191e-17,7,6304.8294610556404,-1.773536119785815e-08,-2.6723321706875369e-23,0,7.7999822348927296e-18,89.999877842875634,90.000000000000014,90.000000000000014,-2.816198989419785e-39,4.1877642093314161e-06,4.1877642093314161e-06,0,0,1.9930547352222463e-17,1,1,0,2.9181440671284993e-16,0.050000005725793592,2.7752828994920266e-14,1.5067799263900698e-15,1.5067799263900698e-15
2.7730422694532194e-17,13,6304.8040414274383,-1.7735175448048592e-08,-1.0689258299463138e-22,0,7.7999107984797367e-18,89.999376739382981,90.000000000000014,90.000000000000014,-3.6044441985106458e-37,2.0938820138299235e-05,2.0938820138299235e-05,0,0,1.9930511896052459e-17,2,2,0,7.2115411361058562e-15,0.050000027189540511,6.9381910499544121e-13,6.0271197055602791e-15,7.5338996319503486e-15
2.7729995134999983e-17,19,6304.7003805535978,-1.7734476206329475e-08,-4.2755953221313454e-22,0,7.7996190364803884e-18,89.997172729114823,90.000000000000014,90.000000000000014,-2.9494041819301399e-35,8.7942978452421684e-05,8.7942978452421684e-05,0,0,1.9930376098519596e-17,3,3,0,1.3980083167552949e-13,0.050000090015194218,1.2238844638119418e-11,2.4108478822241116e-14,3.1642378454191468e-14
2.7728285040127918e-17,25,6304.2540289387643,-1.7732379420463077e-08,-1.7100948720652915e-21,0,7.7983556825692095e-18,89.985694602933506,90.000000000000014,90.000000000000014,-2.6959054596133265e-33,0.00035595530974424049,0.00035595530974424049,0,0,1.9929929357558712e-17,4,4,0,3.1557523955901466e-12,0.049999972972217047,2.005008941862722e-10,9.6433915288964465e-14,1.2807629374315595e-13
2.7721445061826966e-17,31,6301.960107107866,-1.7735203124899705e-08,-6.839978300952279e-21,0,7.7917571065229971e-18,89.89675433726137,90.000000000000014,90.000000000000014,-3.649769271383305e-31,0.0014277274665299917,0.0014277274665299917,0,0,1.9929687955304333e-17,5,5,0,1.0651454950372378e-10,0.049993626208258868,3.2255400752963702e-09,3.8573566115585786e-13,5.1381195489901386e-13
2.76939718959383e-17,37,6284.1251425796081,-1.7927131669753849e-08,-2.7473165888662918e-20,0,7.7400573019009052e-18,88.854373465573843,90.000000000000014,90.000000000000014,-7.1667997603352625e-29,0.0056970656943897482,0.0056970656943897482,0,0,1.9953914594109066e-17,6,6,0,5.2415870409458876e-09,0.049876871567363354,5.1427224248147162e-08,1.5429426446234314e-12,2.0567545995224453e-12
2.7610266959590758e-17,43,6109.3513617139442,-2.0057813058382282e-08,-8.370493634754345e-20,0,7.3498616792478923e-18,79.73577937784917,90.000000000000014,90.000000000000014,-6.2502077529251451e-27,0.017583796972993032,0.017583796972993032,0,0,2.0260405286593074e-17,7,7,0,1.4810528323675196e-07,0.048895776752022668,5.0150902051867892e-07,4.4912319789413637e-12,6.5479865784638086e-12
2.7507899002914909e-17,49,5588.8977719171498,-2.3164377603973375e-08,-1.0236795667584872e-19,0,6.7690924150400544e-18,62.3622573572001,90.000000000000014,90.000000000000014,-4.6183325668164176e-26,0.02833996543436838,0.02833996543436838,0,0,2.0738806634058181e-17,8,8,0,6.7900761575748523e-07,0.047358416839564835,1.4084597436801777e-06,4.7676512268706501e-12,1.1315637805334459e-11
2.7387689345817185e-17,55,5001.9085535820896,-2.4438945057149029e-08,-1.2020965709772404e-19,0,6.4434066789168433e-18,53.534892253083846,90.000000000000014,90.000000000000014,-1.5987751372957427e-25,0.036469799785777711,0.036469799785777711,0,0,2.0944282826777856e-17,9,9,0,1.8265971052926035e-06,0.045066119071503839,2.7268249415020424e-06,5.1198226620416699e-12,1.6435460467376129e-11
2.7268810623569357e-17,67,5536.9404119017163,-2.4733225759385405e-08,-1.1887872224783019e-19,0,6.3129922834100402e-18,51.013612975023158,90.000000000000014,90.000000000000014,-3.3238793355519526e-25,0.040038755825661014,0.040038755825661014,0,0,2.0955818672547248e-17,10,10,0,3.4590228756641347e-06,0.041642947117896269,4.1107877455976025e-06,4.9467838042299757e-12,2.1382244271606106e-11
2.7157641408830028e-17,73,5418.5506743620881,-2.4107220116375001e-08,-1.1116921473932792e-19,0,6.4190159729682199e-18,57.888069236745352,90.000000000000014,90.000000000000014,-4.9204891359274379e-25,0.039188200101429468,0.039188200101429468,0,0,2.0738625927910721e-17,11,11,0,5.2316865825435767e-06,0.037650998895893642,5.3388776297515629e-06,4.6175160983683839e-12,2.5999760369974489e-11
2.705743010568189e-17,79,4724.9856004973217,-2.3114525593537066e-08,-1.0021130314813805e-19,0,6.643941376774079e-18,61.737013608839206,90.000000000000014,90.000000000000014,-5.7959762611610361e-25,0.034799172053889667,0.034799172053889667,0,0,2.0413489308505437e-17,12,12,0,6.9397918579323838e-06,0.033468986499665378,6.3074595147921601e-06,4.3217978880055613e-12,3.0321558257980049e-11
2.696250157820897e-17,85,4815.3864429597124,-2.2907935925126763e-08,-9.4928527472920246e-20,0,6.7411929397910761e-18,59.985971805603519,90.000000000000014,90.000000000000014,-5.5984260704366915e-25,0.027596126837443603,0.027596126837443603,0,0,2.02213091982605e-17,13,13,0,8.45291639327382e-06,0.029080764109387584,7.0417312980036758e-06,4.1898734409697882e-12,3.4511431698949838e-11
2.6868048668557627e-17,91,4953.2254578759848,-2.2019343210096656e-08,-9.4452909651342945e-20,0,6.985064392894031e-18,62.180560522481159,90.000000000000014,90.000000000000014,-4.1963550477439014e-25,0.01793017701889053,0.01793017701889053,0,0,1.9882984695299099e-17,14,14,0,9.751611866659175e-06,0.024680188742639685,7.6688653705673155e-06,4.2562203783994603e-12,3.8767652077349298e-11
2.6778959095145058e-17,97,5039.1172528598572,-2.093134281339765e-08,-8.9089573412569966e-20,0,7.3562904722645803e-18,69.649155512484882,90.000000000000014,90.000000000000014,-1.768984694696698e-25,0.0067745917477770243,0.0067745917477770243,0,0,1.9422668799778947e-17,15,15,0,1.0880020281250279e-05,0.020611491534940869,8.1536040205281944e-06,4.2376788438846213e-12,4.3005330921233918e-11
2.6693421297632804e-17,103,4843.0750930451331,-2.0946421800287309e-08,-8.5537797512251373e-20,0,7.6124707508766912e-18,75.228200806572318,90.000000000000014,90.000000000000014,1.3668388337168319e-25,0.0047614868385799586,-0.0047614868385799586,0,0,1.9080950410072229e-17,16,16,0,1.1960889529321964e-05,0.01708900948670785,8.5855787064585456e-06,4.1664517515295915e-12,4.717178267276351e-11
2.6608911258994864e-17,109,4364.1949344971699,-2.0742883907511598e-08,-8.4510038637939973e-20,0,7.974797410411106e-18,79.604134345504875,90.000000000000014,90.000000000000014,5.0120798723211104e-25,0.015759573036688734,-0.015759573036688734,0,0,1.8634113347375772e-17,17,17,0,1.3251416193796322e-05,0.014352945362530506,9.0414764789061882e-06,4.1093536143252545e-12,5.1281136287088767e-11
2.6525209338188551e-17,115,4819.1932764638805,-2.0571049040038968e-08,-8.3701920806314786e-20,0,8.411695202019114e-18,74.685708620926448,90.000000000000014,90.000000000000014,9.1860707602039217e-25,0.025556875907460978,-0.025556875907460978,0,0,1.8113513217562362e-17,18,18,0,1.4976515507195146e-05,0.01238872735495789,9.3333163378962485e-06,4.138205449160987e-12,5.5419341736249755e-11
2.6441526981104488e-17,121,5061.5411868063657,-2.1441641159426767e-08,-8.3682357084060534e-20,0,8.6953371169241136e-18,80.571802296648997,90.000000000000014,90.000000000000014,1.3596165285146999e-24,0.033149063695526573,-0.033149063695526573,0,0,1.7746188504563849e-17,19,19,0,1.7089679880030453e-05,0.011224774602107874,9.3723699095228457e-06,4.0560634552155821e-12,5.9475405191465339e-11
2.6354916661307502e-17,127,5431.3027815588248,-2.1937994994737599e-08,-8.6610319796987142e-20,0,9.063138482740233e-18,90.601759024840931,90.601759024840931,90.601759024840931,1.7773633798147072e-24,0.03813455394337132,-0.03813455394337132,0,0,1.7291776401203888e-17,20,20,0,1.9419869864505406e-05,0.010869364723563566,9.0996828072057539e-06,4.0349193234500565e-12,6.3510324514915397e-11
2.625975960467196e-17,133,5469.7901523467854,-2.1716875202781479e-08,-9.5157056635544053e-20,0,9.5859658229978423e-18,101.75342766897479,101.75342766897479,101.75342766897479,2.1118534147769421e-24,0.040208414458509263,-0.040208414458509263,0,0,1.6673791669820702e-17,21,21,0,2.1884447190299008e-05,0.011300840161986132,8.2768461333182858e-06,4.4681438490113105e-12,6.7978468363926707e-11
2.6168756919823521e-17,145,5446.5872437024273,-2.2162755101402959e-08,-9.1002684848439236e-20,0,9.8120297517691519e-18,108.100020543933,108.100020543933,108.100020543933,2.2275283769899174e-24,0.038658568841429042,-0.038658568841429042,0,0,1.6356724940525989e-17,22,22,0,2.4008566575543956e-05,0.012383865997320529,7.1688025265051932e-06,4.2386042765012554e-12,7.2217072640427968e-11
