"Oxs_RungeKuttaEvolve:evolve:Total energy","Oxs_RungeKuttaEvolve:evolve:Energy calc count","Oxs_RungeKuttaEvolve:evolve:Max dm/dt","Oxs_RungeKuttaEvolve:evolve:dE/dt","Oxs_RungeKuttaEvolve:evolve:Delta E","Oxs_CubicAnisotropy::Energy","Oxs_UniformExchange::Energy","Oxs_UniformExchange::Max Spin Ang","Oxs_UniformExchange::Stage Max Spin Ang","Oxs_UniformExchange::Run Max Spin Ang","Oxs_ScriptUZeeman::Energy","Oxs_ScriptUZeeman::B","Oxs_ScriptUZeeman::Bx","Oxs_ScriptUZeeman::By","Oxs_ScriptUZeeman::Bz","Oxs_Demag::Energy","Oxs_TimeDriver::Iteration","Oxs_TimeDriver::Stage iteration","Oxs_TimeDriver::Stage","Oxs_TimeDriver::mx","Oxs_TimeDriver::my","Oxs_TimeDriver::mz","Oxs_TimeDriver::Last time step","Oxs_TimeDriver::Simulation time"
2.7730556310436897e-17,1,6304.8357849842196,-1.7735408319010952e-08,0,0,7.8000000000000001e-18,90.000000000000014,90.000000000000014,90.000000000000014,0,0,0,0,0,1.9930556310436898e-17,0,0,0,0,0.050000000000000003,0,0,0
2.7730529587115191e-17,7,6304.8294782052981,-1.7735361197858157e-08,-2.6723321706779302e-23,0,7.7999822348927296e-18,89.999877842875762,90.000000000000014,90.000000000000014,-5.5685087905027399e-39,5.8890433342137561e-06,5.8890433342137561e-06,0,0,1.9930547352222463e-17,1,1,0,4.1288634141286217e-16,0.050000005725793592,3.9027415636994077e-14,1.5067799263900698e-15,1.5067799263900698e-15
2.7730422694532194e-17,13,6304.8041271756583,-1.7735175448048734e-08,-1.068925829952271e-22,0,7.7999107984797367e-18,89.999376739386264,90.000000000000014,90.000000000000014,-7.1282089659279024e-37,2.944520517466613e-05,2.944520517466613e-05,0,0,1.9930511896052459e-17,2,2,0,1.0142102837562562e-14,0.050000027189540504,9.7568293930668425e-13,6.0271197055602791e-15,7.5338996319503486e-15
2.7729995134999983e-17,19,6304.7007406888579,-1.773447620633198e-08,-4.2755953221307492e-22,0,7.7996190364803869e-18,89.997172729174451,90.000000000000014,90.000000000000014,-5.8325669724573134e-35,0.00012366902479728271,0.00012366902479728271,0,0,1.9930376098519596e-17,3,3,0,1.9655562937259675e-13,0.050000090015194232,1.7210820396466413e-11,2.4108478822241116e-14,3.1642378454191468e-14
2.7728285040127915e-17,25,6304.2554861113304,-1.7732379420509776e-08,-1.710094872067466e-21,0,7.7983556825692095e-18,89.985694604042635,90.000000000000014,90.000000000000014,-5.3304672094825295e-33,0.00050050985838294665,0.00050050985838294665,0,0,1.9929929357558712e-17,4,4,0,4.4375720123449965e-12,0.049999972972217074,2.8193965344769366e-10,9.6433915288964465e-14,1.2807629374315595e-13
2.7721445061826797e-17,31,6301.9659189738641,-1.7735203126004166e-08,-6.8399783011186779e-21,0,7.7917571065229971e-18,89.896754363547885,90.000000000000014,90.000000000000014,-7.2010624302738416e-31,0.0020043671868813727,0.0020043671868813727,0,0,1.9929687955304518e-17,5,5,0,1.4969525237878165e-10,0.049993626208258771,4.5321029356125566e-09,3.8573566115585786e-13,5.1381195489901386e-13
2.7693971895917999e-17,37,6284.1462551090544,-1.7927131703653924e-08,-2.747316590879807e-20,0,7.7400573019009899e-18,88.854374375035732,90.000000000000014,90.000000000000014,-1.367505894747952e-28,0.0077970934546653546,0.0077970934546653546,0,0,1.995391459415376e-17,6,6,0,7.3077759829660257e-09,0.049876871567338561,7.1349565078808154e-08,1.5429426446234314e-12,2.0567545995224453e-12
2.7610267153255066e-17,43,6109.3630121112647,-2.0057805679370886e-08,-8.3704742662932617e-20,0,7.3498628998438614e-18,79.735821903769491,90.000000000000014,90.000000000000014,-8.4711975611156509e-27,0.018423157272574278,0.018423157272574278,0,0,2.0260404261882403e-17,7,7,0,1.9158853160838287e-07,0.048895779663515784,6.1351270281119768e-07,4.4912218424888355e-12,6.5479764420112812e-12
2.7507899464829861e-17,49,5588.8019746056916,-2.3164359286045455e-08,-1.0236768842520497e-19,0,6.7690944387953631e-18,62.362329809213385,90.000000000000014,90.000000000000014,-2.4096525876932187e-26,0.013460692065027625,0.013460692065027625,0,0,2.0738805050131024e-17,8,8,0,7.4589174663027134e-07,0.047358424117797102,1.2857737664085896e-06,4.767641168064326e-12,1.1315617610075607e-11
2.7387690783852227e-17,55,5001.4823130750729,-2.4438920072671958e-08,-1.2020868097763141e-19,0,6.4434088122038278e-18,53.534794286552,90.000000000000014,90.000000000000014,1.8133754969628598e-26,0.0049588290814510001,-0.0049588290814510001,0,0,2.0944281953514645e-17,9,9,0,1.5236926123127341e-06,0.045066153650031568,1.4505219461399732e-06,5.1197817241703435e-12,1.643539933424595e-11
2.726880968662131e-17,67,5536.5033806933607,-2.4733218667930217e-08,-1.1888109723091792e-19,0,6.3129918922416014e-18,51.013251849750844,90.000000000000014,90.000000000000014,8.7578354385531867e-26,0.018121322533191365,-0.018121322533191365,0,0,2.0955817706801357e-17,10,10,0,2.0137040729758639e-06,0.041642904315530839,9.4686067376791473e-07,4.9468986093459594e-12,2.1382297943591908e-11
2.7157637899601707e-17,73,5418.1517666653963,-2.4107194189755121e-08,-1.1117178701960474e-19,0,6.4190256006654148e-18,57.887510887066128,90.000000000000014,90.000000000000014,7.1659411517413819e-26,0.014673830491949324,-0.014673830491949324,0,0,2.0738612227276881e-17,11,11,0,2.0347848606140664e-06,0.037650840166967778,3.7500296834946009e-07,4.6176361000668836e-12,2.5999934043658791e-11
2.7057426574896648e-17,79,4724.8251135395858,-2.3114544261811358e-08,-1.0021132470506019e-19,0,6.6439480931207992e-18,61.735074295246875,90.000000000000014,90.000000000000014,-3.1444949023667473e-28,7.3104607889527544e-05,7.3104607889527544e-05,0,0,2.0413478482090296e-17,12,12,0,1.792234781254083e-06,0.033468807478703864,1.7682527279578304e-07,4.3218009663661644e-12,3.0321735010024956e-11
2.6962498393107418e-17,85,4814.9413829009172,-2.2907975606273531e-08,-9.4928181789229345e-20,0,6.7411972588836363e-18,59.982101647012868,90.000000000000014,90.000000000000014,-5.3201158403695409e-26,0.014439095716861016,0.014439095716861016,0,0,2.0221301187424942e-17,13,13,0,1.5352172857088347e-06,0.029080603585091097,3.8524278145283462e-07,4.1898497444894183e-12,3.4511584754514375e-11
2.6868046140716769e-17,91,4952.9073863486728,-2.2019360622259522e-08,-9.4452252390646671e-20,0,6.9850745249513708e-18,62.177659477305042,90.000000000000014,90.000000000000014,-6.3195222050668184e-26,0.018530245865981877,0.018530245865981877,0,0,1.988297167896062e-17,14,14,0,1.4209926144499332e-06,0.024680074611305371,7.8631233290676999e-07,4.2561829697881315e-12,3.8767767724302508e-11
2.6778955686809595e-17,97,5037.9559439949726,-2.0931383368043803e-08,-8.9090453907175664e-20,0,7.3563020217869751e-18,69.644381074754207,90.000000000000014,90.000000000000014,-3.2556767484701742e-26,0.0091657137356035458,0.0091657137356035458,0,0,1.9422653697579388e-17,15,15,0,1.4800069232502333e-06,0.020611350362354047,1.0817437491212089e-06,4.2377197260618173e-12,4.3005487450364328e-11
2.6693418517379932e-17,103,4842.2672734395001,-2.0946488969967916e-08,-8.5537169429661726e-20,0,7.6124774965066847e-18,75.220935674615461,90.000000000000014,90.000000000000014,2.5689837247560673e-26,0.0065710710839308652,-0.0065710710839308652,0,0,1.9080940995183411e-17,16,16,0,1.6289732246256122e-06,0.017088927630107185,1.1539273692775169e-06,4.1664051916613444e-12,4.7171892642025671e-11
2.6608908070940661e-17,109,4363.1641804554838,-2.0742943656278485e-08,-8.4510446439269532e-20,0,7.9748100106063703e-18,79.600102167992901,90.000000000000014,90.000000000000014,7.4757093154359875e-26,0.017623536073069671,-0.017623536073069671,0,0,1.86340979855772e-17,17,17,0,1.7674539709463716e-06,0.014352880912746753,1.0728513565879985e-06,4.1093615979729801e-12,5.1281254239998651e-11
2.6525202818508699e-17,115,4818.2752001090948,-2.0571162130995648e-08,-8.3705252431966628e-20,0,8.4117193204009701e-18,74.681263677673073,90.000000000000014,90.000000000000014,7.2805717166557817e-26,0.016583313333208869,-0.016583313333208869,0,0,1.8113483425302012e-17,18,18,0,1.8292915821820498e-06,0.012388623402971611,9.4393174388196112e-07,4.1383683368181723e-12,5.5419622576816825e-11
2.6441513016238745e-17,121,5059.6249882723187,-2.1441880327127938e-08,-8.3689802269952078e-20,0,8.6953794417205702e-18,80.565163559159529,90.000000000000014,90.000000000000014,1.9316231991756363e-26,0.004376246503387143,-0.004376246503387143,0,0,1.7746133555201944e-17,19,19,0,1.8391171498317272e-06,0.011224661519849176,8.7447398011153085e-07,4.0564135418868519e-12,5.9476036118703672e-11
