"Oxs_RungeKuttaEvolve:evolve:Total energy","Oxs_RungeKuttaEvolve:evolve:Energy calc count","Oxs_RungeKuttaEvolve:evolve:Max dm/dt","Oxs_RungeKuttaEvolve:evolve:dE/dt","Oxs_RungeKuttaEvolve:evolve:Delta E","Oxs_CubicAnisotropy::Energy","Oxs_UniformExchange::Energy","Oxs_UniformExchange::Max Spin Ang","Oxs_UniformExchange::Stage Max Spin Ang","Oxs_UniformExchange::Run Max Spin Ang","Oxs_ScriptUZeeman::Energy","Oxs_ScriptUZeeman::B","Oxs_ScriptUZeeman::Bx","Oxs_ScriptUZeeman::By","Oxs_ScriptUZeeman::Bz","Oxs_Demag::Energy","Oxs_TimeDriver::Iteration","Oxs_TimeDriver::Stage iteration","Oxs_TimeDriver::Stage","Oxs_TimeDriver::mx","Oxs_TimeDriver::my","Oxs_TimeDriver::mz","Oxs_TimeDriver::Last time step","Oxs_TimeDriver::Simulation time"
2.7730556310436897e-17,1,6304.8357849842196,-1.7735408319010952e-08,0,0,7.8000000000000001e-18,90.000000000000014,90.000000000000014,90.000000000000014,0,0,0,0,0,1.9930556310436898e-17,0,0,0,0,0.050000000000000003,0,0,0
2.7730529587115191e-17,7,6304.8294931962555,-1.7735361197858164e-08,-2.6723321706313983e-23,0,7.7999822348927296e-18,89.999877842875861,90.000000000000014,90.000000000000014,-8.6936100166949118e-39,7.3761755652386591e-06,7.3761755652386591e-06,0,0,1.9930547352222463e-17,1,1,0,4.9670537312825522e-16,0.050000005725793592,4.8882823575624456e-14,1.5067799263900698e-15,1.5067799263900698e-15
2.7730422694532194e-17,13,6304.8042021305564,-1.773517544804889e-08,-1.0689258299556094e-22,0,7.7999107984797367e-18,89.99937673938912,90.000000000000014,90.000000000000014,-1.1182414290838312e-36,3.6880872537107608e-05,3.6880872537107608e-05,0,0,1.9930511896052459e-17,2,2,0,1.2644256154696147e-14,0.050000027189540504,1.2220676771098245e-12,6.0271197055602791e-15,7.5338996319503486e-15
2.7729995134999983e-17,19,6304.7010555044371,-1.7734476206334865e-08,-4.2755953221268334e-22,0,7.7996190364803884e-18,89.997172729226548,90.000000000000014,90.000000000000014,-9.15035858380454e-35,0.00015489927961071781,0.00015489927961071781,0,0,1.9930376098519596e-17,3,3,0,2.4619201819101971e-13,0.050000090015194225,2.1557036089726959e-11,2.4108478822241116e-14,3.1642378454191468e-14
2.7728285040127912e-17,25,6304.256760661212,-1.7732379420563559e-08,-1.7100948720696286e-21,0,7.7983556825692095e-18,89.985694605012426,90.000000000000014,90.000000000000014,-8.363425677157284e-33,0.00062694785914314951,0.00062694785914314951,0,0,1.9929929357558712e-17,4,4,0,5.5583287030458449e-12,0.049999972972217067,3.5314966674169074e-10,9.6433915288964465e-14,1.2807629374315595e-13
2.77214450618266e-17,31,6301.9710507147774,-1.7735203127293397e-08,-6.8399783013138242e-21,0,7.7917571065229971e-18,89.896754386621637,90.000000000000014,90.000000000000014,-1.1315585987413937e-30,0.0025135285646362181,0.0025135285646362181,0,0,1.9929687955304734e-17,5,5,0,1.8757802123824756e-10,0.049993626208258653,5.6799722217294859e-09,3.8573566115585786e-13,5.1381195489901386e-13
2.7693971895890525e-17,37,6284.1679455041549,-1.7927131754096328e-08,-2.7473165936076063e-20,0,7.7400573019010947e-18,88.854375216091299,90.000000000000014,90.000000000000014,-2.2007115753422112e-28,0.0099567556632985926,0.0099567556632985926,0,0,1.9953914594209501e-17,6,6,0,9.2094572726637124e-09,0.049876871567307655,9.0230530804356024e-08,1.5429426446234314e-12,2.0567545995224453e-12
2.7610266904443871e-17,43,6109.457548885619,-2.0057816195845791e-08,-8.370499144665293e-20,0,7.3498613491116234e-18,79.735801025039223,90.000000000000014,90.000000000000014,-1.745500068796571e-26,0.02855781750995625,0.02855781750995625,0,0,2.0260405572787247e-17,7,7,0,2.546734165400267e-07,0.048895775958538515,8.4891010400133381e-07,4.4912347218613075e-12,6.5479893213837532e-12
2.7507898890056838e-17,49,5588.9864078327755,-2.3164378978705022e-08,-1.0236801438703007e-19,0,6.7690919365016211e-18,62.362281502645359,90.000000000000014,90.000000000000014,-1.0300359960902089e-25,0.038525098318360672,0.038525098318360672,0,0,2.0738807056558819e-17,8,8,0,1.1140313296578825e-06,0.047358415074369907,2.1990769147017271e-06,4.767653277000336e-12,1.1315642598384089e-11
2.7387689528013627e-17,55,5001.9415028555859,-2.4438924002216381e-08,-1.2020936204321139e-19,0,6.4434069209227251e-18,53.535174253662916,90.000000000000014,90.000000000000014,-2.2787933311987278e-25,0.034288281147829107,0.034288281147829107,0,0,2.0944282834970235e-17,9,9,0,2.7691595773771405e-06,0.045066122930223405,3.7048693854159382e-06,5.1198108289037398e-12,1.6435453427287828e-11
