"Oxs_RungeKuttaEvolve:evolve:Total energy","Oxs_RungeKuttaEvolve:evolve:Energy calc count","Oxs_RungeKuttaEvolve:evolve:Max dm/dt","Oxs_RungeKuttaEvolve:evolve:dE/dt","Oxs_RungeKuttaEvolve:evolve:Delta E","Oxs_CubicAnisotropy::Energy","Oxs_UniformExchange::Energy","Oxs_UniformExchange::Max Spin Ang","Oxs_UniformExchange::Stage Max Spin Ang","Oxs_UniformExchange::Run Max Spin Ang","Oxs_ScriptUZeeman::Energy","Oxs_ScriptUZeeman::B","Oxs_ScriptUZeeman::Bx","Oxs_ScriptUZeeman::By","Oxs_ScriptUZeeman::Bz","Oxs_Demag::Energy","Oxs_TimeDriver::Iteration","Oxs_TimeDriver::Stage iteration","Oxs_TimeDriver::Stage","Oxs_TimeDriver::mx","Oxs_TimeDriver::my","Oxs_TimeDriver::mz","Oxs_TimeDriver::Last time step","Oxs_TimeDriver::Simulation time"
2.7730556310436897e-17,1,6304.8357849842196,-1.7735408319010952e-08,0,0,7.8000000000000001e-18,90.000000000000014,90.000000000000014,90.000000000000014,0,0,0,0,0,1.9930556310436898e-17,0,0,0,0,0.050000000000000003,0,0,0
2.7730529587115191e-17,7,6304.8294291548791,-1.7735361197858147e-08,-2.6723321706382596e-23,0,7.7999822348927296e-18,89.999877842875378,90.000000000000014,90.000000000000014,-1.6656917644689284e-40,1.0231469392953728e-06,1.0231469392953728e-06,0,0,1.9930547352222463e-17,1,1,0,4.9670537312825522e-17,0.050000005725793592,6.7805206279321817e-15,1.5067799263900698e-15,1.5067799263900698e-15
2.7730422694532194e-17,13,6304.8038819235617,-1.7735175448048463e-08,-1.068925829950141e-22,0,7.7999107984797367e-18,89.999376739376913,90.000000000000014,90.000000000000014,-2.1499697457994768e-38,5.1157346891403906e-06,5.1157346891403906e-06,0,0,1.9930511896052459e-17,2,2,0,1.788139343261719e-15,0.050000027189540504,1.6951262512776566e-13,6.0271197055602791e-15,7.5338996319503486e-15
2.7729995134999983e-17,19,6304.6997106370227,-1.773447620632706e-08,-4.2755953221346819e-22,0,7.7996190364803869e-18,89.99717272900395,90.000000000000014,90.000000000000014,-1.760526334467867e-36,2.1486085160294338e-05,2.1486085160294338e-05,0,0,1.9930376098519596e-17,3,3,0,3.4148494402567545e-14,0.050000090015194232,2.9901734212008555e-12,2.4108478822241116e-14,3.1642378454191468e-14
2.7728285040127918e-17,25,6304.2513174244859,-1.7732379420418131e-08,-1.7100948720637526e-21,0,7.7983556825692095e-18,89.985694600870062,90.000000000000014,90.000000000000014,-1.6092535531897134e-34,8.6967452299373935e-05,8.6967452299373935e-05,0,0,1.9929929357558712e-17,4,4,0,7.7101401984691617e-13,0.04999997297221704,4.8986323225032418e-11,9.6433915288964465e-14,1.2807629374315595e-13
2.7721445061827127e-17,31,6301.9492336977555,-1.7735203123826971e-08,-6.8399783007902286e-21,0,7.7917571065229971e-18,89.896754288248061,90.000000000000014,90.000000000000014,-2.1791999977866012e-32,0.00034889068212099687,0.00034889068212099687,0,0,1.9929687955304154e-17,5,5,0,2.6025362312793732e-11,0.049993626208258958,7.8813818262725972e-10,3.8573566115585786e-13,5.1381195489901386e-13
2.769397189596016e-17,37,6284.08193282497,-1.7927131630669794e-08,-2.7473165866969701e-20,0,7.7400573019008189e-18,88.85437171781129,90.000000000000014,90.000000000000014,-4.2963936587194589e-30,0.0013964400868316988,0.0013964400868316988,0,0,1.9953914594063635e-17,6,6,0,1.2819482882817587e-09,0.049876871567388549,1.2585098035121215e-08,1.5429426446234314e-12,2.0567545995224453e-12
2.7610266877423579e-17,43,6109.2249562791076,-2.0057815135310222e-08,-8.370501853657903e-20,0,7.3498611510360333e-18,79.73573507174298,90.000000000000014,90.000000000000014,-3.8959847460446609e-28,0.0044412586079075967,0.0044412586079075967,0,0,2.0260405726777145e-17,7,7,0,3.6551057280351722e-08,0.048895775494203236,1.245761058981043e-07,4.4912363650705733e-12,6.5479909645930182e-12
2.7507898833521682e-17,49,5588.7319637329711,-2.3164378503281513e-08,-1.023680439018971e-19,0,6.7690915942273975e-18,62.362173884605049,90.000000000000014,90.000000000000014,-3.1408471165722491e-27,0.0076577817507016109,0.0076577817507016109,0,0,2.0738807242435131e-17,8,8,0,1.7089626495105524e-07,0.047358413916075974,3.6164021260958788e-07,4.7676550222424919e-12,1.1315645986835511e-11
2.7387689166792484e-17,55,5001.587818855799,-2.4438940954310337e-08,-1.2020966672919904e-19,0,6.4434063448717493e-18,53.534493845201517,90.000000000000014,90.000000000000014,-1.2635694298648826e-26,0.011080984073275691,0.011080984073275691,0,0,2.0944282834556428e-17,9,9,0,4.7512681093066931e-07,0.045066113953347434,7.3986364404156723e-07,5.1198237366184416e-12,1.6435469723453952e-11
2.7268808432869235e-17,67,5536.6093166483297,-2.4733226151415838e-08,-1.1888073392325083e-19,0,6.3129914538881809e-18,51.012735109548068,90.000000000000014,90.000000000000014,-3.2351688879142631e-26,0.014345147175090518,0.014345147175090518,0,0,2.0955817011332742e-17,10,10,0,9.3968156630483765e-07,0.04164286437125217,1.1985939426375506e-06,4.9468780695294351e-12,2.1382347792983388e-11
2.715763737963569e-17,73,5418.2807339678839,-2.4107180010613273e-08,-1.1117105323354256e-19,0,6.4190265515936622e-18,57.887387665690554,90.000000000000014,90.000000000000014,-6.2253994401485208e-26,0.017342283186165004,0.017342283186165004,0,0,2.073861089029602e-17,11,11,0,1.4957179544307292e-06,0.037650824036346814,1.6898037697236335e-06,4.6176038378240183e-12,2.5999951630807407e-11
