"Oxs_RungeKuttaEvolve:evolve:Total energy","Oxs_RungeKuttaEvolve:evolve:Energy calc count","Oxs_RungeKuttaEvolve:evolve:Max dm/dt","Oxs_RungeKuttaEvolve:evolve:dE/dt","Oxs_RungeKuttaEvolve:evolve:Delta E","Oxs_CubicAnisotropy::Energy","Oxs_UniformExchange::Energy","Oxs_UniformExchange::Max Spin Ang","Oxs_UniformExchange::Stage Max Spin Ang","Oxs_UniformExchange::Run Max Spin Ang","Oxs_ScriptUZeeman::Energy","Oxs_ScriptUZeeman::B","Oxs_ScriptUZeeman::Bx","Oxs_ScriptUZeeman::By","Oxs_ScriptUZeeman::Bz","Oxs_Demag::Energy","Oxs_TimeDriver::Iteration","Oxs_TimeDriver::Stage iteration","Oxs_TimeDriver::Stage","Oxs_TimeDriver::mx","Oxs_TimeDriver::my","Oxs_TimeDriver::mz","Oxs_TimeDriver::Last time step","Oxs_TimeDriver::Simulation time"
2.7730556310436897e-17,1,6304.8357849842196,-1.7735408319010952e-08,0,0,7.8000000000000001e-18,90.000000000000014,90.000000000000014,90.000000000000014,0,0,0,0,0,1.9930556310436898e-17,0,0,0,0,0.050000000000000003,0,0,0
2.7730529587115191e-17,7,6304.8294749672496,-1.7735361197858154e-08,-2.6723321706470758e-23,0,7.7999822348927296e-18,89.999877842875733,90.000000000000014,90.000000000000014,-4.9860630409689581e-39,5.5678227714939329e-06,5.5678227714939329e-06,0,0,1.9930547352222463e-17,1,1,0,3.7563343842824299e-16,0.050000005725793592,3.6898647109614069e-14,1.5067799263900698e-15,1.5067799263900698e-15
2.7730422694532194e-17,13,6304.8041109853993,-1.7735175448048701e-08,-1.0689258299529867e-22,0,7.7999107984797367e-18,89.999376739385653,90.000000000000014,90.000000000000014,-6.3701646972657514e-37,2.7839100922073587e-05,2.7839100922073587e-05,0,0,1.9930511896052459e-17,2,2,0,9.5677872498830164e-15,0.050000027189540511,9.2246383465758677e-13,6.0271197055602791e-15,7.5338996319503486e-15
2.7729995134999983e-17,19,6304.7006726886166,-1.773447620633144e-08,-4.2755953221322435e-22,0,7.7996190364803869e-18,89.997172729163196,90.000000000000014,90.000000000000014,-5.2136241295730956e-35,0.00011692328217828114,0.00011692328217828114,0,0,1.9930376098519596e-17,3,3,0,1.8581437567869823e-13,0.050000090015194232,1.6272037277976399e-11,2.4108478822241116e-14,3.1642378454191468e-14
2.7728285040127915e-17,25,6304.2552108034934,-1.7732379420499741e-08,-1.710094872067158e-21,0,7.7983556825692095e-18,89.985694603833167,90.000000000000014,90.000000000000014,-4.7646670833418832e-33,0.00047319874792317107,0.00047319874792317107,0,0,1.9929929357558712e-17,4,4,0,4.1954778134822848e-12,0.049999972972217033,2.6655814907229568e-10,9.6433915288964465e-14,1.2807629374315595e-13
2.7721445061826834e-17,31,6301.9648101943367,-1.7735203125763844e-08,-6.8399783010823726e-21,0,7.7917571065229971e-18,89.896754358563342,90.000000000000014,90.000000000000014,-6.4337662122233233e-31,0.0018943562202362112,0.0018943562202362112,0,0,1.9929687955304481e-17,5,5,0,1.4151171470681826e-10,0.049993626208258791,4.2841267692695814e-09,3.8573566115585786e-13,5.1381195489901386e-13
2.7693971895923078e-17,37,6284.1415526836026,-1.7927131694383364e-08,-2.7473165903756413e-20,0,7.7400573019009715e-18,88.854374193100156,90.000000000000014,90.000000000000014,-1.2130379021171947e-28,0.0073288746305222733,0.0073288746305222733,0,0,1.9953914594143409e-17,6,6,0,6.8964538630098107e-09,0.049876871567344286,6.7262946018324023e-08,1.5429426446234314e-12,2.0567545995224453e-12
2.7610267263143747e-17,43,6109.3431143395592,-2.0057801531908206e-08,-8.3704632779328913e-20,0,7.3498635897158009e-18,79.735835207956256,90.000000000000014,90.000000000000014,-6.9478820009137991e-27,0.01627063316263504,0.01627063316263504,0,0,2.026040368037583e-17,7,7,0,1.7792490342631938e-07,0.048895781310648818,5.6272245486009828e-07,4.4912161130718444e-12,6.5479707125942893e-12
2.7507899716350099e-17,49,5588.76955233032,-2.3164353554790468e-08,-1.0236754679364818e-19,0,6.769095572601451e-18,62.362362599981338,90.000000000000014,90.000000000000014,-1.4415172518774835e-26,0.0089808420613082668,0.0089808420613082668,0,0,2.073880415816382e-17,8,8,0,6.68792730315278e-07,0.047358428201113682,1.1023046251738924e-06,4.7676355796037209e-12,1.1315606292198009e-11
2.7387691189286747e-17,55,5001.4496004944358,-2.4438922624862571e-08,-1.202085270633533e-19,0,6.4434094583945883e-18,53.534719685231785,90.000000000000014,90.000000000000014,2.7513639377822882e-26,0.0088979835889998922,-0.0088979835889998922,0,0,2.0944281703378519e-17,9,9,0,1.2883836312095325e-06,0.045066164016859755,1.0790381564752169e-06,5.1197747095753386e-12,1.6435381001773349e-11
2.7268810795827809e-17,67,5536.5037093649817,-2.4733224650202209e-08,-1.1888039345893657e-19,0,6.3129923121068039e-18,51.013183579845368,90.000000000000014,90.000000000000014,6.164405170730062e-26,0.016210523701005359,-0.016210523701005359,0,0,2.0955818422076953e-17,10,10,0,1.5844658703388025e-06,0.041642946262907515,5.3096813229911888e-07,4.9468646753436613e-12,2.138224567711701e-11
2.7157639685635866e-17,73,5418.1414437236963,-2.4107216566045574e-08,-1.1117111019194371e-19,0,6.4190208241163376e-18,57.88725492817693,90.000000000000014,90.000000000000014,2.309402525133991e-26,0.0063941076588492317,-0.0063941076588492317,0,0,2.0738618838425503e-17,11,11,0,1.504902800374354e-06,0.03765091919273883,1.326045063939091e-07,4.6176022380624223e-12,2.5999847915179433e-11
2.7057428378482752e-17,79,4724.8928694161568,-2.3114547232516622e-08,-1.002113071531149e-19,0,6.6439446518202436e-18,61.734865085319754,90.000000000000014,90.000000000000014,-2.7855345721216413e-26,0.0088898470202831391,0.0088898470202831391,0,0,2.0413483754517853e-17,12,12,0,1.3055786026983212e-06,0.033468899354474946,1.8021772910166571e-07,4.3217968921541308e-12,3.0321644807333562e-11
2.6962499767912177e-17,85,4814.9367404290078,-2.2907970760495061e-08,-9.4928610570571513e-20,0,6.7411952616303709e-18,59.981954426521085,90.000000000000014,90.000000000000014,-4.6671689085905449e-26,0.016317731065409461,0.016317731065409461,0,0,2.0221304552953497e-17,13,13,0,1.1917427147831767e-06,0.029080676472235199,5.157180936523946e-07,4.1898710442631256e-12,3.4511515851596685e-11
2.6868046496757531e-17,91,4952.8166401302224,-2.2019360180404263e-08,-9.445327115464717e-20,0,6.9850727922663404e-18,62.177316011931367,90.000000000000014,90.000000000000014,-2.9243687440271841e-26,0.0099607197300874851,0.0099607197300874851,0,0,1.9882973733734877e-17,14,14,0,1.2232921010442078e-06,0.02468009368061062,8.3670176958316009e-07,4.2562328598026532e-12,3.8767748711399339e-11
2.6778956576832707e-17,97,5037.7878920692547,-2.0931388993330597e-08,-8.9089919924825179e-20,0,7.3562983779568761e-18,69.643868766131064,90.000000000000014,90.000000000000014,1.5530513515327538e-26,0.0048717447907393168,-0.0048717447907393168,0,0,1.9422658183345316e-17,15,15,0,1.3282812577299774e-06,0.020611394045436202,9.1925847007301249e-07,4.2376910082103569e-12,4.3005439719609696e-11
2.6693419173061666e-17,103,4842.1564731857816,-2.0946497563808457e-08,-8.5537403771041351e-20,0,7.6124750612300754e-18,75.220564204459833,90.000000000000014,90.000000000000014,5.1515470726462155e-26,0.01547820860184807,-0.01547820860184807,0,0,1.9080944060316121e-17,16,16,0,1.3867741430643945e-06,0.017088955562063492,8.1187510751258138e-07,4.1664164495438797e-12,4.7171856169153578e-11
2.6608907807557511e-17,109,4363.1260960863419,-2.0742955066605736e-08,-8.4511365504152969e-20,0,7.9748110083228656e-18,79.600050619738113,90.000000000000014,90.000000000000014,4.3646470242328451e-26,0.013446149566388245,-0.013446149566388245,0,0,1.8634096755588176e-17,17,17,0,1.3525083279268196e-06,0.01435287570816254,6.8793857802661174e-07,4.1094074278550952e-12,5.1281263597008671e-11
2.6525203384904123e-17,115,4818.331193457886,-2.0571161006348338e-08,-8.370442265338827e-20,0,8.4117159822463259e-18,74.680882732088961,90.000000000000014,90.000000000000014,1.5303420013020943e-27,0.00050235485495415337,-0.00050235485495415337,0,0,1.8113487401127457e-17,18,18,0,1.2693069337774068e-06,0.012388637746929958,6.5013457980511403e-07,4.1383218362845323e-12,5.5419585433293206e-11
2.6441513103659895e-17,121,5059.6145047893915,-2.1441867974393263e-08,-8.369028124422812e-20,0,8.6953786798419697e-18,80.56434499939877,90.000000000000014,90.000000000000014,-3.8726591831597969e-26,0.012661386437059779,0.012661386437059779,0,0,1.7746134462544518e-17,19,19,0,1.2744323072209954e-06,0.011224663608262618,7.1693986755317991e-07,4.0564404363201673e-12,5.9476025869613373e-11
2.6354898793928556e-17,127,5429.7347457940486,-2.1938025691515037e-08,-8.6614309731341147e-20,0,9.063231193698264e-18,90.582870241992325,90.582870241992325,90.582870241992325,-5.7209826000742414e-26,0.015910883044733901,0.015910883044733901,0,0,1.7291667657440115e-17,20,20,0,1.4981838175747544e-06,0.010869377680705951,8.1910536198020663e-07,4.0350903623279518e-12,6.3511116231941321e-11
2.6259741222625434e-17,133,5468.7374556383538,-2.1716874520133235e-08,-9.5157571303120272e-20,0,9.5860433691336034e-18,101.70769191014836,101.70769191014836,101.70769191014836,-2.5741626716204569e-26,0.0053154368808262572,0.0053154368808262572,0,0,1.6673697879233458e-17,21,21,0,2.0178356057715914e-06,0.011300999870982365,8.5394359971008579e-07,4.468176439982279e-12,6.7979292671923606e-11
2.6168734818487039e-17,145,5445.9973583788187,-2.2162858092325009e-08,-9.1006404138396484e-20,0,9.8120476144197836e-18,108.10418653120594,108.10418653120594,108.10418653120594,6.0884536502029642e-26,0.009589818320473854,-0.009589818320473854,0,0,1.635668714318272e-17,22,22,0,2.6453636583996316e-06,0.012384210790660368,7.5188259612733724e-07,4.2387806545987601e-12,7.2218073326522363e-11
2.6081779311664903e-17,151,5437.689244691348,-2.2561466997564359e-08,-8.6955506822136766e-20,0,9.8096083434920104e-18,124.87665386763668,124.87665386763668,124.87665386763668,1.2299864330739879e-25,0.01631283858891755,-0.01631283858891755,0,0,1.6272170845174251e-17,23,23,0,3.1416625888086858e-06,0.013958797663218968,5.465762926137055e-07,3.933942046277199e-12,7.6152015372799558e-11
2.5997728023590054e-17,157,5826.5606464749426,-2.2728415432643783e-08,-8.4051288074847754e-20,0,9.6730006296708585e-18,141.7942708017745,141.7942708017745,141.7942708017745,9.321985898307154e-26,0.011431215436259782,-0.011431215436259782,0,0,1.6324727300699335e-17,24,24,0,3.3978545961653194e-06,0.015952476395969705,3.1104049991180547e-07,3.7548928066316915e-12,7.9906908179431253e-11
2.5915178180636261e-17,163,6202.0940117377186,-2.3285186967793028e-08,-8.2549842953793105e-20,0,9.3658157854751854e-18,157.6071545964152,157.6071545964152,157.6071545964152,-6.1790380832300958e-27,0.00074179235724585097,0.00074179235724585097,0,0,1.6549362401340115e-17,25,25,0,3.4707815147998434e-06,0.01824763783294844,1.6484851898281402e-07,3.6272401420926177e-12,8.3534148321523875e-11
2.5828126188246345e-17,169,5591.4096760136235,-2.3796536770633953e-08,-8.7051992389915566e-20,0,9.0250740980649664e-18,171.60033004582357,171.60033004582357,171.60033004582357,-1.0767969794596955e-25,0.012692738381788459,0.012692738381788459,0,0,1.6803052197861077e-17,26,26,0,3.5348196315889557e-06,0.020819468729560607,1.925999274455565e-07,3.7331074208350044e-12,8.7267255742358874e-11
2.5740709675093112e-17,175,5498.1833582508389,-2.3685579614383681e-08,-8.741651315323361e-20,0,8.8409974145103023e-18,178.28061386440234,178.28061386440234,178.28061386440234,-1.4515504954360468e-25,0.016125249943891671,0.016125249943891671,0,0,1.6899712405737861e-17,27,27,0,3.7507183364282052e-06,0.023447362840671379,3.4507152386935864e-07,3.7218971314045833e-12,9.0989152873763459e-11
2.5654450445128055e-17,181,6249.8682297982659,-2.3671955466296879e-08,-8.6259229965057558e-20,0,8.7194279355894318e-18,173.05282582818808,178.28061386440234,178.28061386440234,-8.833245659982142e-26,0.0088678440432713307,0.0088678440432713307,0,0,1.6935022597871079e-17,28,28,0,4.1504101866142204e-06,0.026048931982885375,4.5807626094284388e-07,3.6962960353234104e-12,9.4685448909086868e-11
2.5567677891987484e-17,187,6187.7901998930511,-2.4036076759868144e-08,-8.6772553140571408e-20,0,8.5786248431168344e-18,173.97764237464207,178.28061386440234,178.28061386440234,4.6761431667976485e-26,0.0042070210551425043,-0.0042070210551425043,0,0,1.6989053002109215e-17,29,29,0,4.6312888873865207e-06,0.028539693576353969,4.0668043720409818e-07,3.6882646584509842e-12,9.8373713567537856e-11
2.5482897083566604e-17,193,6246.3737330243384,-2.4146018000820582e-08,-8.4780808420878308e-20,0,8.5038747620608199e-18,177.13775509001522,178.28061386440234,178.28061386440234,1.7225049362413944e-25,0.014291640219130463,-0.014291640219130463,0,0,1.6979022149255291e-17,30,30,0,5.0218895739316942e-06,0.030786492107996631,1.5605404947555751e-07,3.5573126113393192e-12,1.0193102617887718e-10
2.5402968675301728e-17,199,6629.6173995319168,-2.4175244758216608e-08,-7.9928408264875917e-20,0,8.4581398711337412e-18,159.81391524640657,178.28061386440234,178.28061386440234,1.9777838709738101e-25,0.015826818806219448,-0.015826818806219448,0,0,1.6944828606389598e-17,31,31,0,5.2068367180631805e-06,0.032816184028379561,-2.1093427418594122e-07,3.3426402027020938e-12,1.0527366638157927e-10
2.5327014132872841e-17,205,7571.2682092677524,-2.4604282441976439e-08,-7.5954542428886856e-20,0,8.3380852314963787e-18,135.41903479030302,178.28061386440234,178.28061386440234,1.1637521026622623e-25,0.009354935024465624,-0.009354935024465624,0,0,1.6988928785001255e-17,32,32,0,5.1833252520983419e-06,0.034668221034341022,-5.2626255873692572e-07,3.1418375840614858e-12,1.0841550396564075e-10
2.5251276686123984e-17,211,8332.2999891131003,-2.5197238618688211e-08,-7.573744674885599e-20,0,8.1617037379974932e-18,106.01298442726107,178.28061386440234,178.28061386440234,-1.632312836529438e-26,0.0013499194889403413,0.0013499194889403413,0,0,1.7089572964449621e-17,33,33,0,5.0383030553193139e-06,0.03637363752225721,-6.5663097587942805e-07,3.0613431945915549e-12,1.1147684716023231e-10
2.5176106677254833e-17,217,8361.313875947204,-2.5488840424265469e-08,-7.5170008869154023e-20,0,8.0121013147660108e-18,76.622366817731759,178.28061386440234,178.28061386440234,-1.3171432081612053e-25,0.011218330349344096,0.011218330349344096,0,0,1.7164005494203141e-17,34,34,0,4.8920797745666157e-06,0.037938795768286848,-5.760861690264937e-07,2.9807486547526307e-12,1.1445759581498495e-10
2.5100001677937742e-17,223,7461.8938120323055,-2.5540936649649802e-08,-7.6104999317090485e-20,0,7.8852172955037834e-18,66.887907613659053,178.28061386440234,178.28061386440234,-1.8742584420775344e-25,0.016188658627443283,0.016188658627443283,0,0,1.7214784569859803e-17,35,35,0,4.8240007742928959e-06,0.039466388470317533,-3.5431853675317449e-07,3.0031735570204083e-12,1.1746076937200535e-10
