"Oxs_RungeKuttaEvolve:evolve:Total energy","Oxs_RungeKuttaEvolve:evolve:Energy calc count","Oxs_RungeKuttaEvolve:evolve:Max dm/dt","Oxs_RungeKuttaEvolve:evolve:dE/dt","Oxs_RungeKuttaEvolve:evolve:Delta E","Oxs_CubicAnisotropy::Energy","Oxs_UniformExchange::Energy","Oxs_UniformExchange::Max Spin Ang","Oxs_UniformExchange::Stage Max Spin Ang","Oxs_UniformExchange::Run Max Spin Ang","Oxs_ScriptUZeeman::Energy","Oxs_ScriptUZeeman::B","Oxs_ScriptUZeeman::Bx","Oxs_ScriptUZeeman::By","Oxs_ScriptUZeeman::Bz","Oxs_Demag::Energy","Oxs_TimeDriver::Iteration","Oxs_TimeDriver::Stage iteration","Oxs_TimeDriver::Stage","Oxs_TimeDriver::mx","Oxs_TimeDriver::my","Oxs_TimeDriver::mz","Oxs_TimeDriver::Last time step","Oxs_TimeDriver::Simulation time"
2.7730556310436897e-17,1,6304.8357849842196,-1.7735408319010952e-08,0,0,7.8000000000000001e-18,90.000000000000014,90.000000000000014,90.000000000000014,0,0,0,0,0,1.9930556310436898e-17,0,0,0,0,0.050000000000000003,0,0,0
2.7730529587115191e-17,7,6304.8295569977754,-1.7735361197858203e-08,-2.6723321706539254e-23,0,7.7999822348927312e-18,89.999877842876344,90.000000000000014,90.000000000000014,-3.0031973245477285e-38,1.3705409692685268e-05,1.3705409692685268e-05,0,0,1.9930547352222463e-17,1,1,0,9.1890494028727208e-16,0.050000005725793592,9.0827438814500283e-14,1.5067799263900698e-15,1.5067799263900698e-15
2.7730422694532194e-17,13,6304.8045211377912,-1.7735175448049958e-08,-1.0689258299518674e-22,0,7.7999107984797367e-18,89.999376739401271,90.000000000000014,90.000000000000014,-3.8607768621448299e-36,6.8526991857255292e-05,6.8526991857255292e-05,0,0,1.9930511896052459e-17,2,2,0,2.3491059740384419e-14,0.050000027189540511,2.2706797813398794e-12,6.0271197055602791e-15,7.5338996319503486e-15
2.7729995134999983e-17,19,6304.7023952990676,-1.7734476206354376e-08,-4.2755953221320639e-22,0,7.7996190364803884e-18,89.997172729448337,90.000000000000014,90.000000000000014,-3.1589948298891364e-34,0.00028780924488994126,0.00028780924488994126,0,0,1.9930376098519596e-17,3,3,0,4.5737872521082563e-13,0.050000090015194218,4.0054112621087751e-11,2.4108478822241116e-14,3.1642378454191468e-14
2.77282850401279e-17,25,6304.2621811356394,-1.7732379420926926e-08,-1.7100948720841961e-21,0,7.7983556825692095e-18,89.985694609138406,90.000000000000014,90.000000000000014,-2.8865464848784005e-32,0.0011646701916341079,0.0011646701916341079,0,0,1.9929929357558718e-17,4,4,0,1.0326784104108811e-11,0.049999972972217067,6.5610744311499054e-10,9.6433915288964465e-14,1.2807629374315595e-13
2.7721445061825287e-17,31,6301.9926329204955,-1.7735203135846888e-08,-6.8399783026119116e-21,0,7.7917571065229971e-18,89.896754484340875,90.000000000000014,90.000000000000014,-3.8890444256454034e-30,0.0046548628246095578,0.0046548628246095578,0,0,1.9929687955306179e-17,5,5,0,3.4811661889155706e-10,0.049993626208257848,1.0536310406068879e-08,3.8573566115585786e-13,5.1381195489901386e-13
2.7693971895741581e-17,37,6284.244108907119,-1.7927131993198108e-08,-2.7473166083702795e-20,0,7.740057301901748e-18,88.854378564891775,90.000000000000014,90.000000000000014,-7.0787102674103085e-28,0.017531033765889839,0.017531033765889839,0,0,1.9953914594547706e-17,6,6,0,1.6824236633256077e-08,0.049876871567120069,1.6325083292865808e-07,1.5429426446234314e-12,2.0567545995224453e-12
2.7610269746847301e-17,43,6109.4719689887997,-2.0057709825060089e-08,-8.3702148894281661e-20,0,7.3498792453483856e-18,79.736286394646967,90.000000000000014,90.000000000000014,-2.671030965592719e-26,0.027731511835364781,0.027731511835364781,0,0,2.0260390528209225e-17,7,7,0,4.0132307816917698e-07,0.048895818660312347,1.1916123458021077e-06,4.4910860983665976e-12,6.5478406978890433e-12
2.7507905337202043e-17,49,5588.7185538779295,-2.3164206334366879e-08,-1.0236440964526086e-19,0,6.7691208261711432e-18,62.363329151252508,90.000000000000014,90.000000000000014,2.463823303422229e-26,0.0080745917492676626,-0.0080745917492676626,0,0,2.0738784486392666e-17,8,8,0,1.2713869318831713e-06,0.047358518959931421,1.6279984354151142e-06,4.7675135988383955e-12,1.1315354296727439e-11
2.7387700368040955e-17,55,5001.5464693863996,-2.4438906189815409e-08,-1.2020496916108772e-19,0,6.4434237230492985e-18,53.534792436890683,90.000000000000014,90.000000000000014,1.3084307843493752e-25,0.029263887527055273,-0.029263887527055273,0,0,2.0944276514148578e-17,9,9,0,1.8629769984260203e-06,0.045066392024019061,6.1591316796534864e-07,5.1196227974352162e-12,1.6434977094162653e-11
