grid_search_id,criterion,max_features,min_samples_leaf,min_samples_split,rmse_val,mad_val,r2_val,comment
2024-01-02-10-28-37-208562,squared_error,1,3,3,0.142255358841587,0.0625189651695318,0.756522111108317,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-28-41-742589,squared_error,1,3,4,0.142076074414103,0.0627344813785293,0.756860829891945,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-28-46-147701,squared_error,2,1,2,0.143112430228615,0.0657650537863457,0.759171472930916,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-28-51-107795,squared_error,2,1,3,0.143035396147199,0.0649749435772435,0.759358719764571,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-28-55-742578,squared_error,2,1,4,0.143564909667898,0.0658871646057517,0.758320370722523,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-29-00-495311,squared_error,2,2,2,0.144412453260789,0.0659412746003198,0.756763247248027,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-29-05-264717,squared_error,2,2,3,0.14466305788986,0.0671851695308602,0.756197245573987,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-29-09-849248,squared_error,2,2,4,0.14499452279402,0.0673218754557864,0.75516481925741,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-29-14-236330,squared_error,2,3,2,0.14685672218584,0.0695506659609998,0.751315722269058,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-29-18-512889,squared_error,2,3,3,0.146933307373215,0.06908607127373,0.751082455078051,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-29-22-866719,squared_error,2,3,4,0.14829281243353,0.0715136302714365,0.748474812611598,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-29-27-151691,absolute_error,sqrt,1,2,0.144048104375117,0.0653104116878446,0.757246406023313,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-29-34-492344,absolute_error,sqrt,1,3,0.144361751932143,0.0654914112077508,0.756929814610426,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-29-41-221808,absolute_error,sqrt,1,4,0.144176323032764,0.0659362956348872,0.75728758933681,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-29-47-833759,absolute_error,sqrt,2,2,0.147361820076159,0.0677164089942751,0.750605966570625,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-29-54-127026,absolute_error,sqrt,2,3,0.148492348659206,0.0699562616997289,0.747870538249026,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-30-00-188646,absolute_error,sqrt,2,4,0.146916645490476,0.0692147547761377,0.752055924023197,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
